message_id,action,message_type,reason,confidence,evidence_message_ids
msg_108,mute,scam,The message embeds instructions trying to manipulate the routing decision (e.g. asking to force notify/confidence); the router ignores those instructions and treats the underlying content as a scam attempt.,0.90,message_0094;message_0093
msg_019,mute,spam,"Sender is an unverified business account with a much higher recent user-report rate than comparable senders; muted as likely spam regardless of the user's usual engagement, since the content itself can't be fully verified as safe.",0.80,message_0094;message_0093
msg_088,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0115;message_0232
msg_056,notify,event,"Classified as event; directly @-mentions this user and contains urgent/time-sensitive language, so the message should interrupt the user now.",0.93,message_0054;message_0226
msg_027,digest,promotion,"Classified as promotion; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0272;message_0033
msg_050,notify,event,"Classified as event; matches a recent order/payment/booking relationship with this business and needs action soon, so the message should interrupt the user now.",0.79,message_0279;message_0156
msg_083,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0219
msg_063,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.75,message_0182;message_0181
msg_033,digest,greeting,"Classified as greeting; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0409;message_0121
msg_061,mute,greeting,"Classified as greeting; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0193;message_0194
msg_020,mute,promotion,"Classified as promotion; contains urgent/time-sensitive language and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.91,message_0095;message_0096
msg_017,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0090;message_0089
msg_058,mute,forward,"Classified as forward; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0078;message_0172
msg_026,mute,scam,Message uses urgent verification/account-block/payment-pressure language (unverified business account; sender domain does not match the official brand domain; the sending domain/account is very new; many other users have recently reported this sender); routed as a likely scam regardless of the user's usual engagement.,0.75,message_0032;message_0107
msg_047,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0129;message_0149
msg_046,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0148;message_0147
msg_042,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and sent by a group admin, so the message should interrupt the user now.",0.83,message_0140;message_0058
msg_079,mute,scam,Message uses urgent verification/account-block/payment-pressure language (classic OTP/verification/prize-claim pressure language); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0369;message_0214
msg_098,notify,event,"Classified as event; contains urgent/time-sensitive language and shares an operational/event update, so the message should interrupt the user now.",0.91,message_0226;message_0054
msg_037,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0410;message_0130
msg_007,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0070;message_0069
msg_085,mute,spam,"Sender is an unverified business account with a much higher recent user-report rate than comparable senders; muted as likely spam regardless of the user's usual engagement, since the content itself can't be fully verified as safe.",0.80,message_0221
msg_001,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and sent by a group admin, so the message should interrupt the user now.",0.83,message_0057;message_0240
msg_021,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and sent by a group admin, so the message should interrupt the user now.",0.83,message_0130;message_0129
msg_028,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported and the user has opted out of promotions from this business, so the message should be suppressed.",0.93,message_0034;message_0112
msg_012,mute,forward,"Classified as forward; similar past messages from this sender were dismissed/muted/reported and a widely-forwarded low-content chain message, so the message should be suppressed.",0.93,message_0194;message_0193
msg_064,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.93,message_0087;message_0183
msg_103,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and from a contact the user usually engages with, so the message should interrupt the user now.",0.85,message_0065;message_0382
msg_031,digest,event,"Classified as event; shares an operational/event update and sent by a group admin, so the message should wait for a digest.",0.75,message_0249;message_0055
msg_057,notify,personal,"Classified as personal; directly @-mentions this user and sent by a group admin, so the message should interrupt the user now.",0.87,message_0371;message_0169
msg_087,mute,personal,"Classified as personal; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0391;message_0389
msg_067,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0068;message_0098
msg_039,notify,personal,"Classified as personal; directly @-mentions this user and sent by a group admin, so the message should interrupt the user now.",0.87,message_0364;message_0255
msg_082,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0380;message_0218
msg_066,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported and the user has opted out of promotions from this business, so the message should be suppressed.",0.93,message_0188;message_0187
msg_049,notify,event,"Classified as event; matches a recent order/payment/booking relationship with this business and needs action soon, so the message should interrupt the user now.",0.79,message_0154;message_0291
msg_015,mute,scam,Message uses urgent verification/account-block/payment-pressure language (classic OTP/verification/prize-claim pressure language); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0085;message_0199
msg_051,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported and the user has opted out of promotions from this business, so the message should be suppressed.",0.93,message_0257;message_0103
msg_097,digest,personal,"Classified as personal; from a contact the user usually engages with, so the message should wait for a digest.",0.71,message_0054;message_0359
msg_089,digest,unknown,"Classified as unknown; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.55,none
msg_053,mute,forward,"Classified as forward; a widely-forwarded low-content chain message, so the message should be suppressed.",0.75,message_0411;message_0253
msg_059,digest,promotion,"Classified as promotion; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0214;message_0173
msg_024,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported and the user has opted out of promotions from this business, so the message should be suppressed.",0.93,message_0257;message_0103
msg_072,mute,scam,Message uses urgent verification/account-block/payment-pressure language (classic OTP/verification/prize-claim pressure language); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0085;message_0199
msg_036,mute,spam,"Sender is an unverified business account with a much higher recent user-report rate than comparable senders; muted as likely spam regardless of the user's usual engagement, since the content itself can't be fully verified as safe.",0.80,message_0283;message_0127
msg_076,mute,spam,"Sender is an unverified business account with a much higher recent user-report rate than comparable senders; muted as likely spam regardless of the user's usual engagement, since the content itself can't be fully verified as safe.",0.80,message_0208;message_0207
msg_055,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language, so the message should interrupt the user now.",0.79,message_0166;message_0387
msg_102,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and from a contact the user usually engages with, so the message should interrupt the user now.",0.85,message_0371;message_0230
msg_080,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0130;message_0410
msg_093,mute,scam,Message uses urgent verification/account-block/payment-pressure language (classic OTP/verification/prize-claim pressure language); routed as a likely scam regardless of the user's usual engagement.,0.87,none
msg_034,mute,greeting,"Classified as greeting; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0013;message_0078
msg_035,digest,business_update,"Classified as business_update; matches the user's recent activity with this business, so the message should wait for a digest.",0.71,message_0281;message_0125
msg_101,mute,personal,"Classified as personal; arrives during the user's quiet hours, so the message should be suppressed.",0.73,message_0370;message_0229
msg_041,digest,event,"Classified as event; shares an operational/event update, so the message should wait for a digest.",0.71,message_0137;message_0138
msg_011,mute,greeting,"Classified as greeting; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0077;message_0171
msg_110,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0238;message_0381
msg_095,mute,personal,"Classified as personal; similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.93,message_0087;message_0183
msg_074,mute,personal,"Classified as personal; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0389;message_0203
msg_073,mute,promotion,"Classified as promotion; contains urgent/time-sensitive language and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.91,message_0087;message_0184
msg_054,mute,personal,"Classified as personal; similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.93,message_0389;message_0391
msg_068,digest,personal,"Classified as personal; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0191;message_0192
msg_100,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and from a contact the user usually engages with, so the message should interrupt the user now.",0.85,message_0362;message_0228
msg_062,mute,forward,"Classified as forward; sent by a group admin and a widely-forwarded low-content chain message, so the message should be suppressed.",0.79,message_0043;message_0410
msg_096,digest,unknown,"Classified as unknown; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.55,none
msg_043,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and sent by a group admin, so the message should interrupt the user now.",0.83,message_0410;message_0130
msg_077,digest,event,"Classified as event; shares an operational/event update and sent by a group admin, so the message should wait for a digest.",0.75,message_0037;message_0051
msg_081,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0217
msg_025,notify,business_update,"Classified as business_update; matches a recent order/payment/booking relationship with this business and needs action soon, so the message should interrupt the user now.",0.79,message_0239;message_0004
msg_084,mute,business_update,"Classified as business_update; matches the user's recent activity with this business and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.93,message_0220
msg_022,mute,urgent,"Classified as urgent; contains urgent/time-sensitive language and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.91,message_0099;message_0100
